product_id,edr_volume,edr_subdir,edr_doy,edr_product,cdr_volume,cdr_subdir,cdr_doy,cdr_product,orbit_number,start_time,stop_time,start_frame,center_frame_index,n_frames_for_square_crop,sun_elevation_deg,incidence_angle_deg,center_lat_deg,center_lon_deg
M1327230841CE,LROLRC_0041B,ESM4,2019305,M1327230841CE,LROLRC_1041B,ESM4,2019305,M1327230376CC,46627,2019-11-01 06:59:33.918000+00:00,2019-11-01 07:14:31.574000+00:00,344.0,383.0,78,58.84898594370333,31.16,6.1909,163.6702
M1327231743CE,LROLRC_0041B,ESM4,2019305,M1327231743CE,LROLRC_1041B,ESM4,2019305,M1327231743CC,46628,2019-11-01 07:14:35.881000+00:00,2019-11-01 07:20:38.693000+00:00,93.0,129.0,72,42.53983186727469,47.46,37.7975,166.1636
M1327232110CE,LROLRC_0041B,ESM4,2019305,M1327232110CE,LROLRC_1041B,ESM4,2019305,M1327231743CC,46628,2019-11-01 07:20:43.001000+00:00,2019-11-01 07:26:02.126000+00:00,75.5,111.0,71,29.31393242830353,60.69,54.7864,168.4729
M1327232434CE,LROLRC_0041B,ESM4,2019305,M1327232434CE,LROLRC_1041B,ESM4,2019305,M1327231743CC,46628,2019-11-01 07:26:06.433000+00:00,2019-11-01 07:31:17.401000+00:00,72.0,107.0,70,16.16961489037564,73.83,70.3911,173.5818
M1327236634CE,LROLRC_0041B,ESM4,2019305,M1327236634CE,LROLRC_1041B,ESM4,2019305,M1327236282CC,46628,2019-11-01 08:36:06.705000+00:00,2019-11-01 08:43:52.111000+00:00,247.0,281.0,68,18.917407507661224,71.08,-68.1433,153.2207
M1327237104CE,LROLRC_0041B,ESM4,2019305,M1327237104CE,LROLRC_1041B,ESM4,2019305,M1327236634CC,46628,2019-11-01 08:43:56.413000+00:00,2019-11-01 08:48:39.913000+00:00,111.0,144.0,66,35.0785331917678,54.92,-48.5797,158.3268
M1327237821CE,LROLRC_0041B,ESM4,2019305,M1327237821CE,LROLRC_1041B,ESM4,2019305,M1327237104CC,46628,2019-11-01 08:55:53.520000+00:00,2019-11-01 09:10:50.770000+00:00,349.0,388.0,78,59.39584483741697,30.61,3.3155,162.3885
M1327238723CE,LROLRC_0041B,ESM4,2019305,M1327238723CE,LROLRC_1041B,ESM4,2019305,M1327238723CC,46629,2019-11-01 09:10:55.149000+00:00,2019-11-01 09:17:10.524000+00:00,96.5,132.0,71,44.42693998593665,45.58,35.2505,164.8176
M1327239102CE,LROLRC_0041B,ESM4,2019305,M1327239102CE,LROLRC_1041B,ESM4,2019305,M1327238723CC,46629,2019-11-01 09:17:14.759000+00:00,2019-11-01 09:22:48.978000+00:00,79.5,115.0,71,30.875255632702725,59.13,52.9194,167.0406
M1327239441CE,LROLRC_0041B,ESM4,2019305,M1327239441CE,LROLRC_1041B,ESM4,2019305,M1327238723CC,46629,2019-11-01 09:22:53.285000+00:00,2019-11-01 09:28:57.535000+00:00,89.0,124.0,70,16.36319178540238,73.64,70.1954,172.3963
M1327243712CE,LROLRC_0041B,ESM4,2019305,M1327243712CE,LROLRC_1041B,ESM4,2019305,M1327243279CC,46629,2019-11-01 10:34:04.761000+00:00,2019-11-01 10:40:48.668000+00:00,202.5,235.0,65,19.395743926107414,70.61,-67.5979,152.4165
M1327244120CE,LROLRC_0041B,ESM4,2019305,M1327244120CE,LROLRC_1041B,ESM4,2019305,M1327243712CC,46629,2019-11-01 10:40:52.969000+00:00,2019-11-01 10:45:36.469000+00:00,111.5,144.0,65,34.39468542285546,55.61,-49.5604,156.2598
M1327244812CE,LROLRC_0041B,ESM4,2019305,M1327244812CE,LROLRC_1041B,ESM4,2019305,M1327244120CC,46629,2019-11-01 10:52:24.576000+00:00,2019-11-01 11:07:21.108000+00:00,354.0,393.0,78,59.68060927707221,30.33,0.9951,161.1469
M1327245713CE,LROLRC_0041B,ESM4,2019305,M1327245713CE,LROLRC_1041B,ESM4,2019305,M1327245713CC,46630,2019-11-01 11:07:25.414000+00:00,2019-11-01 11:13:56.352000+00:00,103.0,139.0,72,45.8387834421314,44.16,33.3189,163.5525
M1327246108CE,LROLRC_0041B,ESM4,2019305,M1327246108CE,LROLRC_1041B,ESM4,2019305,M1327245713CC,46630,2019-11-01 11:14:00.658000+00:00,2019-11-01 11:19:41.409000+00:00,80.5,116.0,71,32.03531588999186,57.97,51.5335,165.7216
M1327246453CE,LROLRC_0041B,ESM4,2019305,M1327246453CE,LROLRC_1041B,ESM4,2019305,M1327245713CC,46630,2019-11-01 11:19:45.717000+00:00,2019-11-01 11:26:35.498000+00:00,105.5,141.0,71,16.484579855007382,73.52,70.0777,171.2537
M1327250730CE,LROLRC_0041B,ESM4,2019305,M1327250730CE,LROLRC_1041B,ESM4,2019305,M1327250336CC,46630,2019-11-01 12:31:02.150000+00:00,2019-11-01 12:38:44.525000+00:00,240.5,274.0,67,19.84241252180786,70.16,-67.1036,151.4833
M1327251196CE,LROLRC_0041B,ESM4,2019305,M1327251196CE,LROLRC_1041B,ESM4,2019305,M1327250730CC,46630,2019-11-01 12:38:48.823000+00:00,2019-11-01 12:44:08.510000+00:00,131.0,165.0,68,36.64873192772758,53.35,-46.6271,155.6809
M1327251520CE,LROLRC_0041B,ESM4,2019305,M1327251520CE,LROLRC_1041B,ESM4,2019305,M1327250730CC,46630,2019-11-01 12:44:12.813000+00:00,2019-11-01 12:52:52.063000+00:00,212.0,248.0,72,51.9595974730612,38.04,-24.984,158.2121
M1327252044CE,LROLRC_0041B,ESM4,2019305,M1327252044CE,LROLRC_1041B,ESM4,2019305,M1327251520CC,46630,2019-11-01 12:52:56.366000+00:00,2019-11-01 13:07:56.303000+00:00,335.0,374.0,78,57.92469544855516,32.08,10.8268,160.6849
M1327252948CE,LROLRC_0041B,ESM4,2019305,M1327252948CE,LROLRC_1041B,ESM4,2019305,M1327252948CC,46631,2019-11-01 13:08:00.611000+00:00,2019-11-01 13:13:31.236000+00:00,79.0,115.0,72,39.88270418760111,50.12,41.5876,163.294
M1327253283CE,LROLRC_0041B,ESM4,2019305,M1327253283CE,LROLRC_1041B,ESM4,2019305,M1327252948CC,46631,2019-11-01 13:13:35.543000+00:00,2019-11-01 13:18:49.855000+00:00,71.5,107.0,71,27.077784187366476,62.92,57.6247,165.7941
M1327253602CE,LROLRC_0041B,ESM4,2019305,M1327253602CE,LROLRC_1041B,ESM4,2019305,M1327252948CC,46631,2019-11-01 13:18:54.163000+00:00,2019-11-01 13:23:12.444000+00:00,52.0,87.0,70,15.027088149415306,74.97,71.7746,171.1735
M1327257746CE,LROLRC_0041B,ESM4,2019305,M1327257746CE,LROLRC_1041B,ESM4,2019305,M1327257393CC,46631,2019-11-01 14:27:58.194000+00:00,2019-11-01 14:35:41.319000+00:00,251.0,285.0,68,18.949113596448115,71.05,-68.164,149.9086
M1327258213CE,LROLRC_0041B,ESM4,2019305,M1327258213CE,LROLRC_1041B,ESM4,2019305,M1327257746CC,46631,2019-11-01 14:35:45.621000+00:00,2019-11-01 14:41:03.965000+00:00,132.0,167.0,70,35.40951290790655,54.59,-47.8313,156.8002
M1327258536CE,LROLRC_0041B,ESM4,2019305,M1327258536CE,LROLRC_1041B,ESM4,2019305,M1327257746CC,46631,2019-11-01 14:41:08.267000+00:00,2019-11-01 14:48:59.361000+00:00,189.0,225.0,72,50.49433198766819,39.51,-27.356,158.2438
